Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
39,2018/2019,Ireland,(1031) Military and defence,IT Carlow,Cork
10,2018/2019,Ireland,(1031) Military and defence,Maynooth University,Cork
7,2018/2019,Ireland,(1032) Protection of persons and property,IT Carlow,Cork
136,2018/2019,Ireland,(1041) Transport services,Cork IT,Cork
1,2018/2019,Ireland,(1041) Transport services,Technological University Dublin,Cork
1,2018/2019,Ireland,(0011) Basic programmes and qualifications,Dublin City University,Donegal
2,2018/2019,Ireland,(0011) Basic programmes and qualifications,"National University of Ireland, Galway",Donegal
8,2018/2019,Ireland,(0011) Basic programmes and qualifications,"St. Angela's College of Home Economics, Sligo",Donegal
1,2018/2019,Ireland,(0011) Basic programmes and qualifications,Technological University Dublin,Donegal
123,2018/2019,Ireland,(0031) Personal skills and development,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0031) Personal skills and development,"St. Angela's College of Home Economics, Sligo",Donegal
1,2018/2019,Ireland,(0031) Personal skills and development,Technological University Dublin,Donegal
3,2018/2019,Ireland,(0031) Personal skills and development,Trinity College Dublin,Donegal
29,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,"Mary Immaculate College, Limerick",Donegal
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,Maynooth University,Donegal
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,University of Limerick,Donegal
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,Waterford IT,Donegal
20,2018/2019,Ireland,(0111) Education science,Dublin City University,Donegal
6,2018/2019,Ireland,(0111) Education science,Maynooth University,Donegal
1,2018/2019,Ireland,(0111) Education science,"National University of Ireland, Galway",Donegal
99,2018/2019,Ireland,(0111) Education science,"St. Angela's College of Home Economics, Sligo",Donegal
1,2018/2019,Ireland,(0111) Education science,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0111) Education science,University College Cork,Donegal
4,2018/2019,Ireland,(0112) Training for pre-school teachers,Dublin City University,Donegal
25,2018/2019,Ireland,(0112) Training for pre-school teachers,"Mary Immaculate College, Limerick",Donegal
114,2018/2019,Ireland,(0113) Teacher training without subject specialization,Dublin City University,Donegal
7,2018/2019,Ireland,(0113) Teacher training without subject specialization,"Mary Immaculate College, Limerick",Donegal
16,2018/2019,Ireland,(0113) Teacher training without subject specialization,Maynooth University,Donegal
1,2018/2019,Ireland,(0113) Teacher training without subject specialization,University College Dublin,Donegal
15,2018/2019,Ireland,(0114) Teacher training with subject specialization,Dublin City University,Donegal
10,2018/2019,Ireland,(0114) Teacher training with subject specialization,Galway-Mayo IT,Donegal
1,2018/2019,Ireland,(0114) Teacher training with subject specialization,Limerick IT,Donegal
4,2018/2019,Ireland,(0114) Teacher training with subject specialization,"Mary Immaculate College, Limerick",Donegal
7,2018/2019,Ireland,(0114) Teacher training with subject specialization,Maynooth University,Donegal
5,2018/2019,Ireland,(0114) Teacher training with subject specialization,National College of Art and Design,Donegal
21,2018/2019,Ireland,(0114) Teacher training with subject specialization,"National University of Ireland, Galway",Donegal
22,2018/2019,Ireland,(0114) Teacher training with subject specialization,"St. Angela's College of Home Economics, Sligo",Donegal
2,2018/2019,Ireland,(0114) Teacher training with subject specialization,Trinity College Dublin,Donegal
3,2018/2019,Ireland,(0114) Teacher training with subject specialization,University College Cork,Donegal
6,2018/2019,Ireland,(0114) Teacher training with subject specialization,University College Dublin,Donegal
30,2018/2019,Ireland,(0114) Teacher training with subject specialization,University of Limerick,Donegal
1,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Cork IT,Donegal
45,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Dublin City University,Donegal
35,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Limerick IT,Donegal
2,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,"Mary Immaculate College, Limerick",Donegal
1,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,National College of Art and Design,Donegal
221,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,"St. Angela's College of Home Economics, Sligo",Donegal
16,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,University College Cork,Donegal
14,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,University College Dublin,Donegal
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Athlone IT,Donegal
3,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Dublin City University,Donegal
3,2018/2019,Ireland,(0211) Audio-visual techniques and media production,"Dun Laoghaire Institute of Art, Design and Technology",Donegal
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Dundalk IT,Donegal
7,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Galway-Mayo IT,Donegal
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,IT Carlow,Donegal
2,2018/2019,Ireland,(0211) Audio-visual techniques and media production,IT Tralee,Donegal
124,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Limerick IT,Donegal
14,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Maynooth University,Donegal
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,National College of Art and Design,Donegal
3,2018/2019,Ireland,(0211) Audio-visual techniques and media production,"National University of Ireland, Galway",Donegal
4,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Technological University Dublin,Donegal
6,2018/2019,Ireland,"(0212) Fashion, interior and industrial design","Dun Laoghaire Institute of Art, Design and Technology",Donegal
13,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Galway-Mayo IT,Donegal
1,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",IT Carlow,Donegal
6,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",IT Sligo,Donegal
18,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Letterkenny IT,Donegal
2,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Limerick IT,Donegal
1,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Maynooth University,Donegal
1,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",National College of Art and Design,Donegal
3,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Technological University Dublin,Donegal
3,2018/2019,Ireland,(0213) Fine arts,"Dun Laoghaire Institute of Art, Design and Technology",Donegal
5,2018/2019,Ireland,(0213) Fine arts,Galway-Mayo IT,Donegal
2,2018/2019,Ireland,(0213) Fine arts,IT Sligo,Donegal
4,2018/2019,Ireland,(0213) Fine arts,Limerick IT,Donegal
1,2018/2019,Ireland,(0213) Fine arts,National College of Art and Design,Donegal
1,2018/2019,Ireland,(0213) Fine arts,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0213) Fine arts,University College Dublin,Donegal
4,2018/2019,Ireland,(0215) Music and performing arts,Dundalk IT,Donegal
12,2018/2019,Ireland,(0215) Music and performing arts,IT Sligo,Donegal
14,2018/2019,Ireland,(0215) Music and performing arts,Maynooth University,Donegal
4,2018/2019,Ireland,(0215) Music and performing arts,"National University of Ireland, Galway",Donegal
22,2018/2019,Ireland,(0215) Music and performing arts,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0215) Music and performing arts,Trinity College Dublin,Donegal
3,2018/2019,Ireland,(0215) Music and performing arts,University College Cork,Donegal
2,2018/2019,Ireland,(0215) Music and performing arts,University College Dublin,Donegal
9,2018/2019,Ireland,(0215) Music and performing arts,University of Limerick,Donegal
1,2018/2019,Ireland,(0215) Music and performing arts,Waterford IT,Donegal
10,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,Dublin City University,Donegal
1,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,"Dun Laoghaire Institute of Art, Design and Technology",Donegal
6,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,University College Cork,Donegal
13,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,Donegal
6,2018/2019,Ireland,(0221) Religion and theology,"St. Angela's College of Home Economics, Sligo",Donegal
2,2018/2019,Ireland,(0221) Religion and theology,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0221) Religion and theology,Waterford IT,Donegal
1,2018/2019,Ireland,(0222) History and archaeology,IT Sligo,Donegal
2,2018/2019,Ireland,(0222) History and archaeology,Maynooth University,Donegal
5,2018/2019,Ireland,(0222) History and archaeology,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0222) History and archaeology,"St. Angela's College of Home Economics, Sligo",Donegal
4,2018/2019,Ireland,(0222) History and archaeology,Trinity College Dublin,Donegal
8,2018/2019,Ireland,(0222) History and archaeology,University College Dublin,Donegal
1,2018/2019,Ireland,(0222) History and archaeology,University of Limerick,Donegal
1,2018/2019,Ireland,(0223) Philosophy and ethics,University College Dublin,Donegal
39,2018/2019,Ireland,(0230) Languages not further defined or elsewhere classified,Letterkenny IT,Donegal
15,2018/2019,Ireland,(0230) Languages not further defined or elsewhere classified,Maynooth University,Donegal
16,2018/2019,Ireland,(0231) Language acquisition,Dublin City University,Donegal
7,2018/2019,Ireland,(0231) Language acquisition,Maynooth University,Donegal
12,2018/2019,Ireland,(0231) Language acquisition,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0231) Language acquisition,"St. Angela's College of Home Economics, Sligo",Donegal
1,2018/2019,Ireland,(0231) Language acquisition,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0231) Language acquisition,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0231) Language acquisition,University College Cork,Donegal
9,2018/2019,Ireland,(0231) Language acquisition,University College Dublin,Donegal
4,2018/2019,Ireland,(0231) Language acquisition,University of Limerick,Donegal
1,2018/2019,Ireland,(0232) Literature and linguistics,Galway-Mayo IT,Donegal
4,2018/2019,Ireland,(0232) Literature and linguistics,IT Sligo,Donegal
20,2018/2019,Ireland,(0232) Literature and linguistics,"National University of Ireland, Galway",Donegal
4,2018/2019,Ireland,(0232) Literature and linguistics,Trinity College Dublin,Donegal
18,2018/2019,Ireland,(0232) Literature and linguistics,University College Dublin,Donegal
1,2018/2019,Ireland,(0232) Literature and linguistics,University of Limerick,Donegal
81,2018/2019,Ireland,(0288) Interdisciplinary programmes and qualifications involving arts and humanities,Maynooth University,Donegal
6,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,IT Sligo,Donegal
8,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Maynooth University,Donegal
26,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Technological University Dublin,Donegal
3,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Trinity College Dublin,Donegal
4,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,University College Cork,Donegal
2,2018/2019,Ireland,(0311) Economics,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0311) Economics,Technological University Dublin,Donegal
13,2018/2019,Ireland,(0311) Economics,University College Dublin,Donegal
13,2018/2019,Ireland,(0312) Political sciences and civics,Dublin City University,Donegal
2,2018/2019,Ireland,(0312) Political sciences and civics,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0312) Political sciences and civics,Trinity College Dublin,Donegal
9,2018/2019,Ireland,(0312) Political sciences and civics,University College Dublin,Donegal
1,2018/2019,Ireland,(0312) Political sciences and civics,University of Limerick,Donegal
11,2018/2019,Ireland,(0313) Psychology,Dublin City University,Donegal
2,2018/2019,Ireland,(0313) Psychology,"Dun Laoghaire Institute of Art, Design and Technology",Donegal
2,2018/2019,Ireland,(0313) Psychology,IT Carlow,Donegal
7,2018/2019,Ireland,(0313) Psychology,IT Sligo,Donegal
1,2018/2019,Ireland,(0313) Psychology,"Mary Immaculate College, Limerick",Donegal
2,2018/2019,Ireland,(0313) Psychology,Maynooth University,Donegal
12,2018/2019,Ireland,(0313) Psychology,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0313) Psychology,Trinity College Dublin,Donegal
9,2018/2019,Ireland,(0313) Psychology,University College Dublin,Donegal
3,2018/2019,Ireland,(0313) Psychology,University of Limerick,Donegal
1,2018/2019,Ireland,(0314) Sociology and cultural studies,Galway-Mayo IT,Donegal
8,2018/2019,Ireland,(0314) Sociology and cultural studies,Maynooth University,Donegal
1,2018/2019,Ireland,(0314) Sociology and cultural studies,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0314) Sociology and cultural studies,Trinity College Dublin,Donegal
13,2018/2019,Ireland,(0314) Sociology and cultural studies,University College Dublin,Donegal
4,2018/2019,Ireland,(0321) Journalism and reporting,Dublin City University,Donegal
2,2018/2019,Ireland,(0321) Journalism and reporting,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0321) Journalism and reporting,University of Limerick,Donegal
2,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Athlone IT,Donegal
45,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Dublin City University,Donegal
16,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Galway-Mayo IT,Donegal
13,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,IT Sligo,Donegal
240,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Limerick IT,Donegal
13,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Maynooth University,Donegal
88,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
8,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,Donegal
5,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Trinity College Dublin,Donegal
4,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University College Cork,Donegal
30,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University College Dublin,Donegal
7,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University of Limerick,Donegal
1,2018/2019,Ireland,(0411) Accounting and taxation,Athlone IT,Donegal
15,2018/2019,Ireland,(0411) Accounting and taxation,Dublin City University,Donegal
4,2018/2019,Ireland,(0411) Accounting and taxation,Galway-Mayo IT,Donegal
10,2018/2019,Ireland,(0411) Accounting and taxation,IT Sligo,Donegal
81,2018/2019,Ireland,(0411) Accounting and taxation,Letterkenny IT,Donegal
3,2018/2019,Ireland,(0411) Accounting and taxation,Maynooth University,Donegal
5,2018/2019,Ireland,(0411) Accounting and taxation,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0411) Accounting and taxation,Technological University Dublin,Donegal
3,2018/2019,Ireland,"(0412) Finance, banking and insurance",Dublin City University,Donegal
3,2018/2019,Ireland,"(0412) Finance, banking and insurance",Galway-Mayo IT,Donegal
67,2018/2019,Ireland,"(0412) Finance, banking and insurance",IT Sligo,Donegal
5,2018/2019,Ireland,"(0412) Finance, banking and insurance",Letterkenny IT,Donegal
15,2018/2019,Ireland,"(0412) Finance, banking and insurance",Maynooth University,Donegal
1,2018/2019,Ireland,"(0412) Finance, banking and insurance",University College Dublin,Donegal
1,2018/2019,Ireland,"(0412) Finance, banking and insurance",University of Limerick,Donegal
1,2018/2019,Ireland,(0413) Management and administration,Athlone IT,Donegal
3,2018/2019,Ireland,(0413) Management and administration,Dublin City University,Donegal
1,2018/2019,Ireland,(0413) Management and administration,Dundalk IT,Donegal
3,2018/2019,Ireland,(0413) Management and administration,Galway-Mayo IT,Donegal
2,2018/2019,Ireland,(0413) Management and administration,IT Carlow,Donegal
39,2018/2019,Ireland,(0413) Management and administration,IT Sligo,Donegal
57,2018/2019,Ireland,(0413) Management and administration,Letterkenny IT,Donegal
36,2018/2019,Ireland,(0413) Management and administration,Maynooth University,Donegal
4,2018/2019,Ireland,(0413) Management and administration,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0413) Management and administration,Technological University Dublin,Donegal
4,2018/2019,Ireland,(0413) Management and administration,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0413) Management and administration,University College Cork,Donegal
9,2018/2019,Ireland,(0413) Management and administration,University College Dublin,Donegal
1,2018/2019,Ireland,(0413) Management and administration,University of Limerick,Donegal
2,2018/2019,Ireland,(0413) Management and administration,Waterford IT,Donegal
11,2018/2019,Ireland,(0414) Marketing and advertising,Dublin City University,Donegal
13,2018/2019,Ireland,(0414) Marketing and advertising,Galway-Mayo IT,Donegal
15,2018/2019,Ireland,(0414) Marketing and advertising,IT Sligo,Donegal
21,2018/2019,Ireland,(0414) Marketing and advertising,Letterkenny IT,Donegal
6,2018/2019,Ireland,(0414) Marketing and advertising,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0414) Marketing and advertising,University College Dublin,Donegal
5,2018/2019,Ireland,(0415) Secretarial and office work,IT Sligo,Donegal
3,2018/2019,Ireland,(0416) Wholesale and retail sales,Galway-Mayo IT,Donegal
5,2018/2019,Ireland,(0416) Wholesale and retail sales,Technological University Dublin,Donegal
5,2018/2019,Ireland,(0421) Law,Dublin City University,Donegal
114,2018/2019,Ireland,(0421) Law,Letterkenny IT,Donegal
31,2018/2019,Ireland,(0421) Law,Maynooth University,Donegal
27,2018/2019,Ireland,(0421) Law,"National University of Ireland, Galway",Donegal
7,2018/2019,Ireland,(0421) Law,Trinity College Dublin,Donegal
3,2018/2019,Ireland,(0421) Law,University College Cork,Donegal
8,2018/2019,Ireland,(0421) Law,University College Dublin,Donegal
4,2018/2019,Ireland,(0421) Law,University of Limerick,Donegal
1,2018/2019,Ireland,(0421) Law,Waterford IT,Donegal
1,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Cork IT,Donegal
2,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Dublin City University,Donegal
7,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Galway-Mayo IT,Donegal
108,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Maynooth University,Donegal
93,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,Donegal
4,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,University College Cork,Donegal
1,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,University of Limerick,Donegal
6,2018/2019,Ireland,(0511) Biology,Athlone IT,Donegal
7,2018/2019,Ireland,(0511) Biology,Dublin City University,Donegal
21,2018/2019,Ireland,(0511) Biology,Galway-Mayo IT,Donegal
26,2018/2019,Ireland,(0511) Biology,IT Sligo,Donegal
14,2018/2019,Ireland,(0511) Biology,Maynooth University,Donegal
2,2018/2019,Ireland,(0511) Biology,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0511) Biology,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0511) Biology,University College Cork,Donegal
1,2018/2019,Ireland,(0511) Biology,University College Dublin,Donegal
3,2018/2019,Ireland,(0512) Biochemistry,Dublin City University,Donegal
4,2018/2019,Ireland,(0512) Biochemistry,Letterkenny IT,Donegal
2,2018/2019,Ireland,(0512) Biochemistry,Technological University Dublin,Donegal
13,2018/2019,Ireland,(0512) Biochemistry,University College Dublin,Donegal
2,2018/2019,Ireland,(0512) Biochemistry,University of Limerick,Donegal
1,2018/2019,Ireland,(0520) Environment not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0521) Environmental sciences,Cork IT,Donegal
1,2018/2019,Ireland,(0521) Environmental sciences,Dublin City University,Donegal
7,2018/2019,Ireland,(0521) Environmental sciences,Galway-Mayo IT,Donegal
10,2018/2019,Ireland,(0521) Environmental sciences,IT Sligo,Donegal
4,2018/2019,Ireland,(0521) Environmental sciences,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0521) Environmental sciences,University College Dublin,Donegal
3,2018/2019,Ireland,(0522) Natural environments and wildlife,IT Tralee,Donegal
1,2018/2019,Ireland,(0522) Natural environments and wildlife,University College Dublin,Donegal
2,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Dublin City University,Donegal
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Galway-Mayo IT,Donegal
7,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Technological University Dublin,Donegal
14,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,University College Dublin,Donegal
2,2018/2019,Ireland,(0531) Chemistry,Athlone IT,Donegal
6,2018/2019,Ireland,(0531) Chemistry,Dublin City University,Donegal
13,2018/2019,Ireland,(0531) Chemistry,IT Sligo,Donegal
1,2018/2019,Ireland,(0531) Chemistry,Limerick IT,Donegal
2,2018/2019,Ireland,(0531) Chemistry,Maynooth University,Donegal
4,2018/2019,Ireland,(0531) Chemistry,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0531) Chemistry,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0531) Chemistry,University College Cork,Donegal
10,2018/2019,Ireland,(0531) Chemistry,University College Dublin,Donegal
2,2018/2019,Ireland,(0531) Chemistry,University of Limerick,Donegal
5,2018/2019,Ireland,(0532) Earth sciences,Maynooth University,Donegal
8,2018/2019,Ireland,(0532) Earth sciences,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0532) Earth sciences,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0532) Earth sciences,University College Cork,Donegal
5,2018/2019,Ireland,(0533) Physics,Dublin City University,Donegal
2,2018/2019,Ireland,(0533) Physics,Galway-Mayo IT,Donegal
4,2018/2019,Ireland,(0533) Physics,Maynooth University,Donegal
1,2018/2019,Ireland,(0533) Physics,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0533) Physics,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0533) Physics,Trinity College Dublin,Donegal
5,2018/2019,Ireland,(0533) Physics,University College Dublin,Donegal
1,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,University of Limerick,Donegal
1,2018/2019,Ireland,(0541) Mathematics,Dublin City University,Donegal
7,2018/2019,Ireland,(0541) Mathematics,Maynooth University,Donegal
16,2018/2019,Ireland,(0541) Mathematics,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0541) Mathematics,Technological University Dublin,Donegal
5,2018/2019,Ireland,(0541) Mathematics,Trinity College Dublin,Donegal
5,2018/2019,Ireland,(0541) Mathematics,University College Dublin,Donegal
6,2018/2019,Ireland,(0542) Statistics,Dublin City University,Donegal
2,2018/2019,Ireland,(0542) Statistics,Trinity College Dublin,Donegal
4,2018/2019,Ireland,(0542) Statistics,University College Dublin,Donegal
27,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",Maynooth University,Donegal
10,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",University College Dublin,Donegal
13,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Dublin City University,Donegal
2,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Galway-Mayo IT,Donegal
6,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,IT Sligo,Donegal
8,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Letterkenny IT,Donegal
11,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Maynooth University,Donegal
14,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,Donegal
8,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,University of Limerick,Donegal
1,2018/2019,Ireland,(0611) Computer use,"Dun Laoghaire Institute of Art, Design and Technology",Donegal
1,2018/2019,Ireland,(0611) Computer use,Dundalk IT,Donegal
1,2018/2019,Ireland,(0611) Computer use,Galway-Mayo IT,Donegal
9,2018/2019,Ireland,(0611) Computer use,IT Sligo,Donegal
52,2018/2019,Ireland,(0611) Computer use,Letterkenny IT,Donegal
2,2018/2019,Ireland,(0611) Computer use,Technological University Dublin,Donegal
8,2018/2019,Ireland,(0612) Database and network design and administration,Galway-Mayo IT,Donegal
215,2018/2019,Ireland,(0612) Database and network design and administration,Letterkenny IT,Donegal
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Athlone IT,Donegal
1,2018/2019,Ireland,(0613) Software and applications development and analysis,Cork IT,Donegal
7,2018/2019,Ireland,(0613) Software and applications development and analysis,Dublin City University,Donegal
9,2018/2019,Ireland,(0613) Software and applications development and analysis,Galway-Mayo IT,Donegal
4,2018/2019,Ireland,(0613) Software and applications development and analysis,IT Sligo,Donegal
169,2018/2019,Ireland,(0613) Software and applications development and analysis,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0613) Software and applications development and analysis,Limerick IT,Donegal
1,2018/2019,Ireland,(0613) Software and applications development and analysis,National College of Art and Design,Donegal
3,2018/2019,Ireland,(0613) Software and applications development and analysis,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0613) Software and applications development and analysis,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0613) Software and applications development and analysis,Trinity College Dublin,Donegal
8,2018/2019,Ireland,(0613) Software and applications development and analysis,University College Dublin,Donegal
2,2018/2019,Ireland,(0613) Software and applications development and analysis,University of Limerick,Donegal
3,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Dublin City University,Donegal
8,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Galway-Mayo IT,Donegal
2,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Letterkenny IT,Donegal
39,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
7,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Technological University Dublin,Donegal
10,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Trinity College Dublin,Donegal
